code,area,year,1_year_survival_rate,2_year_survival_rate,3_year_survival_rate,4_year_survival_rate,5_year_survival_rate,birth_rate,death_rate
E12000007,London,2004,94.0,75.5,60.0,49.5,41.9,14.9,13.4
E12000008,South East,2004,94.5,80.2,66.9,56.4,48.7,12.5,11.1
E12000009,South West,2004,94.6,81.4,68.9,58.2,50.2,12.2,10.5
E92000001,England,2004,94.2,78.7,65.2,54.5,46.6,13.2,11.5
W92000004,Wales,2004,94.1,79.4,67.1,56.0,47.4,13.4,10.4
S92000003,Scotland,2004,94.2,77.8,64.3,55.1,47.5,10.6,10.9
N92000002,Northern Ireland,2004,93.4,79.3,67.4,58.8,52.9,11.1,7.5
K04000001,England And Wales,2004,94.2,78.7,65.3,54.6,46.7,13.2,11.4
K03000001,Great Britain,2004,94.2,78.7,65.2,54.6,46.7,13.0,11.4
K02000001,United Kingdom,2004,94.2,78.7,65.3,54.7,46.8,13.0,11.3
E09000001,City of London,2005,93.9,81.2,65.1,49.0,43.3,10.9,8.4
E09000002,Barking and Dagenham,2005,95.0,77.0,57.0,45.0,33.9,15.7,12.4
E09000003,Barnet,2005,95.3,77.7,60.8,51.1,42.4,12.7,14.0
E09000004,Bexley,2005,95.0,78.3,64.4,54.4,45.4,13.7,11.5
E09000005,Brent,2005,93.7,75.6,60.1,50.6,40.0,15.5,13.3
E09000006,Bromley,2005,95.0,79.3,64.3,53.0,42.4,12.8,11.1
E09000007,Camden,2005,94.2,77.4,63.2,52.3,43.1,11.3,10.5
E09000008,Croydon,2005,94.4,77.4,60.0,49.8,42.1,13.7,12.0
E09000009,Ealing,2005,96.0,77.2,59.4,47.5,37.3,14.6,12.7
E09000010,Enfield,2005,96.0,80.1,63.8,54.3,39.0,14.6,12.0
E09000011,Greenwich,2005,95.5,79.5,62.5,50.5,40.6,17.1,12.3
E09000012,Hackney,2005,94.5,79.4,62.9,51.1,42.5,14.6,11.9
E09000013,Hammersmith and Fulham,2005,93.7,73.6,56.2,44.4,34.7,16.1,13.7
E09000014,Haringey,2005,94.6,73.2,57.2,47.1,38.1,15.3,13.3
E09000015,Harrow,2005,95.1,80.0,63.4,52.1,41.3,13.4,12.0
E09000016,Havering,2005,95.5,81.0,65.4,55.3,43.9,11.9,10.8
E09000017,Hillingdon,2005,93.7,78.3,63.8,52.5,41.9,12.1,11.6
E09000018,Hounslow,2005,95.1,79.6,60.0,49.8,40.9,15.1,11.1
E09000019,Islington,2005,95.0,79.4,64.6,53.2,39.5,14.7,11.5
E09000020,Kensington and Chelsea,2005,93.6,79.2,64.4,52.7,42.8,12.8,11.3
E09000021,Kingston upon Thames,2005,96.0,82.7,64.7,53.8,41.9,13.0,11.5
